id,group,paradigm,task,item,paper,optimization_type,low_level_optimizer,learning_method,code_resource,source_h3,source_h4
ambbo-0062-hhrl-mar,metabbo,RL,AS,HHRL-MAR,"Zhu N, Zhao F, Cao J. ""[**A Hyperheuristic and Reinforcement Learning Guided Meta-heuristic Algorithm Recommendation**](https://ieeexplore.ieee.org/abstract/document/10580058/)"" 2024 27th International Conference on Computer Supported Cooperative Work in Design (2024)",SOP,SI,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.1 Algorithm Selection
ambbo-0063-r2-rlmoea,metabbo,RL,AS,R2-RLMOEA,"Tahernezhad-Javazm F, Rankin D, Bois N D, et al. ""[**R2 Indicator and Deep Reinforcement Learning Enhanced Adaptive Multi-Objective Evolutionary Algorithm**](https://arxiv.org/abs/2404.08161)"". arXiv preprint arXiv:2404.08161 (2024).",MOOP,EAs,DDQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.1 Algorithm Selection
ambbo-0064-rl-das,metabbo,RL,AS,RL-DAS,"Guo, Hongshu, et al. ""[**Deep Reinforcement Learning for Dynamic Algorithm Selection: A Proof-of-Principle Study on Differential Evolution**](https://ieeexplore.ieee.org/abstract/document/10496708/)."" IEEE Transactions on Systems, Man, and Cybernetics: Systems (2024).",SOP,DE,PPO,[RL-DAS](https://github.com/GMC-DRL/RL-DAS),### 2.1 🤖MetaBBO-RL,#### 2.1.1 Algorithm Selection
ambbo-0065-msde,metabbo,RL,AC,MSDE,"Lu, Yiling, et al. ""[**A multi-strategy self-adaptive differential evolution algorithm for assembly hybrid flowshop lot-streaming scheduling with component sharing**](https://www.sciencedirect.com/science/article/pii/S2210650224003213)."" Swarm and Evolutionary Computation 92 (2025).",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0066-rlde,metabbo,RL,AC,rlDE,"Yang, Xu, et al. ""Reinforcement learning Based Automated Design of Differential Evolution Algorithm for Black-box Optimization."" arXiv preprint arXiv:2501.12881 (2025).",SOP,DE,DDQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0067-drl-saea,metabbo,RL,AC,DRL-SAEA,"Shao, Shuai, Ye Tian, and Yajie Zhang. ""[**Deep reinforcement learning assisted surrogate model management for expensive constrained multi-objective optimization**](https://www.sciencedirect.com/science/article/pii/S2210650224003559)."" Swarm and Evolutionary Computation 92 (2025).",ECMOP,SAEA,DQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0068-configx,metabbo,RL,AC,ConfigX,"Guo, Hongshu, et al. ""[**ConfigX: Modular Configuration for Evolutionary Algorithms via Multitask Reinforcement Learning**](https://arxiv.org/abs/2412.07507)."" arXiv preprint arXiv:2412.07507 (2024).",SOP,EAs,PPO,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0069-rl-dnsabc,metabbo,RL,AC,RL_DNSABC,"Ye, Tingyu, et al. ""[**Reinforcement learning-driven dual neighborhood structure artificial bee colony algorithm for continuous optimization problem**](https://www.sciencedirect.com/science/article/pii/S1568494624013759)."" Applied Soft Computing (2024)",SOP,ABC,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0070-qlbos2n,metabbo,RL,AC,QLBOS2N,"Cheng, Shi, et al. ""[**A Q-Learning Based Brainstorming Optimization Algorithm for Solving Multimodal Optimization Problems**](https://ieeexplore.ieee.org/abstract/document/10757322)."" IEEE Transactions on Consumer Electronics (2024).",MMOPs,BSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0071-aude,metabbo,RL,AC,AuDE,"Cao, Zijian, et al. ""[**An autonomous differential evolution based on reinforcement learning for cooperative countermeasures of unmanned aerial vehicles**](https://www.sciencedirect.com/science/article/pii/S1568494624013796)."" Applied Soft Computing (2024).",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0072-drlcea,metabbo,RL,AC,DRLCEA,"Luo, Wenguan, et al. ""[**Deep reinforcement learning-guided coevolutionary algorithm for constrained multiobjective optimization**](https://www.sciencedirect.com/science/article/pii/S0020025524015627)."" Information Sciences (2024).",CMOP,EAs,DQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0073-hf,metabbo,RL,AC,HF,"Pei J, Liu J, Mei Y. ""[**Learning from Offline and Online Experiences: A Hybrid Adaptive Operator Selection Framework**](https://dl.acm.org/doi/abs/10.1145/3638529.3654062)"" Proceedings of the Genetic and Evolutionary Computation Conference. (2024).","SOP,CO",DE,DDQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0074-ues-cmaes-rl,metabbo,RL,AC,UES-CMAES-RL,"Bolufé-Röhler A, Xu B. ""[**Deep Reinforcement Learning for Smart Restarts in Exploration-Only Exploitation-Only Hybrid Metaheuristics Metaheuristics International Conference**](https://link.springer.com/chapter/10.1007/978-3-031-62922-8_2)"" (2024).",SOP,UES-CMAES,DQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0075-mtde-l2t,metabbo,RL,AC,MTDE-L2T,"Wu S H, Huang Y, Wu X, et al. ""[**Learning to Transfer for Evolutionary Multitasking**](https://arxiv.org/abs/2406.14359)"". arXiv preprint arXiv:2406.14359, (2024).",MTOP,EC,PPO,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0076-msorl,metabbo,RL,AC,MSoRL,"Wang X, Wang F, He Q, et al. ""[**A multi-swarm optimizer with a reinforcement learning mechanism for large-scale optimization**](https://www.sciencedirect.com/science/article/pii/S2210650224000191)"". Swarm and Evolutionary Computation (2024).",LSOP,PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0077-mrl-moea,metabbo,RL,AC,MRL-MOEA,"Wang, Jing, et al. ""[**A Novel Multi-State Reinforcement Learning-Based Multi-Objective Evolutionary Algorithm**](https://www.sciencedirect.com/science/article/pii/S0020025524013112)."" Information Sciences (2024).",MOOP,MOEA,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0078-rlemmo,metabbo,RL,AC,RLEMMO,"Lian, Hongqiao, et al. ""[**RLEMMO: Evolutionary Multimodal Optimization Assisted By Deep Reinforcement Learning**](https://dl.acm.org/doi/abs/10.1145/3638529.3653995)."" Proceedings of the Genetic and Evolutionary Computation Conference (2024).",MMOP,DE,PPO,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0079-sa-dqn-de,metabbo,RL,AC,SA-DQN-DE,"Liao, Zuowen, Qishuo Pang, and Qiong Gu. ""[**Differential evolution based on strategy adaptation and deep reinforcement learning for multimodal optimization problems**](https://www.sciencedirect.com/science/article/pii/S2210650224001068)."" Swarm and Evolutionary Computation 87 (2024): 101568.",MMOP,DE,DQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0080-pg-de-pg-mpede,metabbo,RL,AC,PG-DE \& PG-MPEDE,"Zhang, Haotian, et al. ""[**Learning to select the recombination operator for derivative-free optimization**](https://link.springer.com/article/10.1007/s11425-023-2252-9)."" Science China Mathematics (2024).",SOP,DE,REINFORCE,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0081-rlns,metabbo,RL,AC,RLNS,"Hong, Jiale, Bo Shen, and Anqi Pan. ""[**A reinforcement learning-based neighborhood search operator for multi-modal optimization and its applications**](https://www.sciencedirect.com/science/article/pii/S0957417424000150)."" Expert Systems with Applications (2024).",MMOP,"SSA,PSO,EO",Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0082-rlmode,metabbo,RL,AC,RLMODE,"Yu, Xiaobing, et al. ""[**Reinforcement learning-based differential evolution algorithm for constrained multi-objective optimization problems**](https://www.sciencedirect.com/science/article/pii/S0952197623020018)."" Engineering Applications of Artificial Intelligence (2024).",MOOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0083-gleet,metabbo,RL,AC,GLEET,"Ma, Zeyuan, et al. ""[**Auto-configuring Exploration-Exploitation Tradeoff in Evolutionary Computation via Deep Reinforcement Learning**](https://dl.acm.org/doi/abs/10.1145/3638529.3653996)."" Proceedings of the Genetic and Evolutionary Computation Conference (2024).",SOP,"DE,PSO",PPO,[GLEET](https://github.com/GMC-DRL/GLEET),### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0084-rlmfea,metabbo,RL,AC,RLMFEA,"Li, Shuijia, et al. ""[**Evolutionary multitasking via reinforcement learning**](https://ieeexplore.ieee.org/abstract/document/10144924/)."" IEEE Transactions on Emerging Topics in Computational Intelligence 8.1 (2023).",MFO,EAs,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0085-rlhde,metabbo,RL,AC,RLHDE,"Peng L, Yuan Z, Dai G, et al. ""[**Reinforcement learning-based hybrid differential evolution for global optimization of interplanetary trajectory design**](https://www.sciencedirect.com/science/article/pii/S2210650223001244)"". Swarm and Evolutionary Computation, (2023).",SOP,HLSHADE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0086-amode-drl,metabbo,RL,AC,AMODE-DRL,"Li T, Meng Y, Tang L. ""[**Scheduling of continuous annealing with a multi-objective differential evolution algorithm based on deep reinforcement learning**](https://ieeexplore.ieee.org/abstract/document/10049395)"". IEEE Transactions on Automation Science and Engineering (2023).",MOOP,MODE,DDQN+DDPG,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0087-marlabc,metabbo,RL,AC,MARLABC,"Zhao F, Wang Z, Wang L, et al. ""[**A multi-agent reinforcement learning driven artificial bee colony algorithm with the central controller**](https://www.sciencedirect.com/science/article/pii/S0957417423001732)"". Expert Systems with Applications (2023).",SOP,ABC,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0088-cede-drl,metabbo,RL,AC,CEDE-DRL,"Hu Z, Gong W, Pedrycz W, et al. ""[**Deep reinforcement learning assisted co-evolutionary differential evolution for constrained optimization**](https://www.sciencedirect.com/science/article/pii/S2210650223001608)"". Swarm and Evolutionary Computation (2023).",SOP,CO-DE,DQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0089-rldmde,metabbo,RL,AC,RLDMDE,"Yang, Qingyong, et al. ""[**Dynamic multi-strategy integrated differential evolution algorithm based on reinforcement learning for optimization problems**](https://link.springer.com/article/10.1007/s40747-023-01243-9)."" Complex & Intelligent Systems (2023).",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0090-rlmmde,metabbo,RL,AC,RLMMDE,"Han Y, Peng H, Mei C, et al. ""[**Multi-strategy multi-objective differential evolutionary algorithm with reinforcement learning**](https://www.sciencedirect.com/science/article/pii/S0950705123005518)"". Knowledge-Based Systems (2023).",MOOP,MOEA,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0091-mpsorl,metabbo,RL,AC,MPSORL,"Meng, Xiaoding, Hecheng Li, and Anshan Chen. ""[**Multi-strategy self-learning particle swarm optimization algorithm based on reinforcement learning**](http://www.aimspress.com/aimspress-data/mbe/2023/5/PDF/mbe-20-05-373.pdf)."" Mathematical Biosciences and Engineering (2023).",SOP,PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0092-irlmfo,metabbo,RL,AC,IRLMFO,"Zhao F, Wang Q, Wang L. ""[**An inverse reinforcement learning framework with the Q-learning mechanism for the metaheuristic algorithm**](https://www.sciencedirect.com/science/article/pii/S0950705123001181)"". Knowledge-Based Systems (2023).",SOP,MFO,IRL+Tabual Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0093-rlam,metabbo,RL,AC,RLAM,"Yin, Shiyuan, et al. ""[**Reinforcement-learning-based parameter adaptation method for particle swarm optimization**](https://link.springer.com/article/10.1007/s40747-023-01012-8)."" Complex & Intelligent Systems (2023).",SOP,PSO,DDPG,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0094-lade,metabbo,RL,AC,LADE,"Liu X, Sun J, Zhang Q, et al. ""[**Learning to learn evolutionary algorithm: A learnable differential evolution**](https://ieeexplore.ieee.org/abstract/document/10068274/)"". IEEE Transactions on Emerging Topics in Computational Intelligence (2023).",SOP,DE,REINFORCE,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0095-moeadrl,metabbo,RL,AC,MOEADRL,"Gao, Mengqi, et al. ""[**An efficient evolutionary algorithm based on deep reinforcement learning for large-scale sparse multiobjective optimization**](https://link.springer.com/article/10.1007/s10489-023-04574-9)."" Applied Intelligence (2023).",LS-MOOP,SpareEAs,A2C,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0096-q-lshade,metabbo,RL,AC,Q-LSHADE,"Zhang H, Sun J, Bäck T, et al. ""[**Controlling Sequential Hybrid Evolutionary Algorithm by Q-Learning**](https://ieeexplore.ieee.org/abstract/document/10035716/)"". IEEE Computational Intelligence Magazine (2023).",SOP,LSHADE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0097-nrlpso,metabbo,RL,AC,NRLPSO,"Li, Wei, et al. ""[**Reinforcement learning-based particle swarm optimization with neighborhood differential mutation strategy**](https://www.sciencedirect.com/science/article/pii/S2210650223000482)."" Swarm and Evolutionary Computation (2023).",SOP,PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0098-rl-shade,metabbo,RL,AC,RL-SHADE,"Fister I, Fister D, Fister Jr I. ""[**Reinforcement learning-based differential evolution for global optimization Differential Evolution: From Theory to Practice**](https://link.springer.com/chapter/10.1007/978-981-16-8082-3_3)"" (2022).",SOP,SHADE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0099-rl-hpsde,metabbo,RL,AC,RL-HPSDE,"Tan, Zhiping, et al. ""[**Differential evolution with hybrid parameters and mutation strategies based on reinforcement learning**](https://www.sciencedirect.com/science/article/pii/S2210650222001602)."" Swarm and Evolutionary Computation (2022): 101194.",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0100-moea-d-dqn,metabbo,RL,AC,MOEA/D-DQN,"Tian, Ye, et al. ""[**Deep reinforcement learning based adaptive operator selection for evolutionary multi-objective optimization**](https://ieeexplore.ieee.org/abstract/document/9712324/)."" IEEE Transactions on Emerging Topics in Computational Intelligence (2022).",MOOP,MOEA,DDQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0101-rl-corco,metabbo,RL,AC,RL-CORCO,"Hu Z, Gong W. ""[**Constrained evolutionary optimization based on reinforcement learning using the objective function and constraints**](https://www.sciencedirect.com/science/article/pii/S0950705121009709)"". Knowledge-Based Systems (2022).",COP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0102-madac,metabbo,RL,AC,MADAC,"Xue, Ke, et al. ""[**Multi-agent dynamic algorithm configuration**](https://proceedings.neurips.cc/paper_files/paper/2022/hash/7f02b39c0424cc4a422994289ca03e46-Abstract-Conference.html)."" Advances in Neural Information Processing Systems (2022).",MOOP,MOEA/D,VDN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0103-rllpso,metabbo,RL,AC,RLLPSO,"Wang F, Wang X, Sun S. ""[**A reinforcement learning level-based particle swarm optimization algorithm for large-scale optimization**](https://www.sciencedirect.com/science/article/pii/S0020025522004054)."" Information Sciences (2022).",LSOP,PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0104-rl-pso,metabbo,RL,AC,RL-PSO,"Wu, Di, and G. Gary Wang. ""[**Employing reinforcement learning to enhance particle swarm optimization methods**](https://www.tandfonline.com/doi/abs/10.1080/0305215X.2020.1867120)."" Engineering Optimization (2022).",SOP,PSO,REINFORCE,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0105-rlea-ssc,metabbo,RL,AC,RLEA-SSC,"Xia H, Li C, Zeng S, et al. ""[**A reinforcement-learning-based evolutionary algorithm using solution space clustering for multimodal optimization problems**](https://ieeexplore.ieee.org/abstract/document/9504896) 2021 IEEE Congress on Evolutionary Computation (CEC). (2021).",MMOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0106-de-dqn,metabbo,RL,AC,DE-DQN,"Tan, Zhiping, and Kangshun Li. ""[**Differential evolution with mixed mutation strategy based on deep reinforcement learning**](https://www.sciencedirect.com/science/article/abs/pii/S1568494621005998)."" Applied Soft Computing (2021).",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0107-lde,metabbo,RL,AC,LDE,"Sun, Jianyong, et al. ""[**Learning Adaptive Differential Evolution Algorithm from Optimization Experiences by Policy Gradient**](https://ieeexplore.ieee.org/abstract/document/9359652)."" IEEE Transactions on Evolutionary Computation (2021).",SOP,DE,REINFORCE,[yierh/LDE](https://github.com/yierh/LDE),### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0108-rlepso,metabbo,RL,AC,RLEPSO,"Yin, Shiyuan, et al. ""[**RLEPSO: Reinforcement learning based Ensemble particle swarm optimizer**](https://dl.acm.org/doi/abs/10.1145/3508546.3508599)."" Proceedings of the 2021 4th International Conference on Algorithms, Computing and Artificial Intelligence. (2021).",SOP,PSO,DDPG,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0109-rlde,metabbo,RL,AC,RLDE,"Hu Z, Gong W, Li S. ""[**Reinforcement learning-based differential evolution for parameters extraction of photovoltaic models**](https://www.sciencedirect.com/science/article/pii/S2352484721000974)."" Energy Reports (2021).",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0110-lrmode,metabbo,RL,AC,LRMODE,"Huang Y, Li W, Tian F, et al. ""[**A fitness landscape ruggedness multiobjective differential evolution algorithm with a reinforcement learning strategy**](https://www.sciencedirect.com/science/article/pii/S1568494620306311)"". Applied Soft Computing (2020).",MOOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0111-marlwcma,metabbo,RL,AC,MARLwCMA,"Sallam, Karam M., et al. ""[**Evolutionary framework with reinforcement learning-based mutation adaptation**](https://ieeexplore.ieee.org/abstract/document/9239320/)."" IEEE Access (2020).",SOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0112-qlpso,metabbo,RL,AC,QLPSO,"Xu Y, Pi D. ""[**A reinforcement learning-based communication topology in particle swarm optimization**](https://link.springer.com/article/10.1007/s00521-019-04527-9)."" Neural Computing and Applications (2020).",SOP,PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0113-lto,metabbo,RL,AC,LTO,"Shala G, Biedenkapp A, Awad N, et al. ""[**Learning step-size adaptation in CMA-ES**](https://link.springer.com/chapter/10.1007/978-3-030-58112-1_48)."" Parallel Problem Solving from Nature–PPSN XVI: 16th International Conference (2020).",SOP,CMA-ES,GPS,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0114-de-ddqn,metabbo,RL,AC,DE-DDQN,"Sharma, Mudita, et al. ""[**Deep reinforcement learning based parameter control in differential evolution**](https://dl.acm.org/doi/abs/10.1145/3321707.3321813)."" Proceedings of the Genetic and Evolutionary Computation Conference (2019).",SOP,DE,Tabular Q-learning,[mudita11/DE-DDQN](https://github.com/mudita11/DE-DDQN),### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0115-ql-m-s-opso,metabbo,RL,AC,QL-M/S-OPSO,"Liu Y, Lu H, Cheng S, et al. ""[**An adaptive online parameter control algorithm for particle swarm optimization based on reinforcement learning**](https://ieeexplore.ieee.org/abstract/document/8790035)"" 2019 IEEE congress on evolutionary computation (2019).","SOP,MOOP",PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0116-de-rlfr,metabbo,RL,AC,DE-RLFR,"Li, Zhihui, et al. ""[**Differential evolution based on reinforcement learning with fitness ranking for solving multimodal multiobjective problems**]()"" Swarm and Evolutionary Computation (2019).",MMOOP,DE,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0117-rl-moea-d,metabbo,RL,AC,RL-MOEA/D,"Ning W, Guo B, Guo X, et al. ""[**Reinforcement learning aided parameter control in multi-objective evolutionary algorithm based on decomposition**](https://link.springer.com/article/10.1007/s13748-018-0155-7)"". Progress in Artificial Intelligence (2018).",MOOP,MOEA/D,SARSA,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0118-qfa,metabbo,RL,AC,QFA,"Sadhu A K, Konar A, Bhattacharjee T, et al. ""[**Synergism of firefly algorithm and Q-learning for robot arm path planning**](https://www.sciencedirect.com/science/article/pii/S2210650217306776)"". Swarm and Evolutionary Computation (2018).",SOP,FA,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0119-rlmpso,metabbo,RL,AC,RLMPSO,"Samma H, Lim C P, Saleh J M. ""[**A new reinforcement learning-based memetic particle swarm optimizer**](https://www.sciencedirect.com/science/article/pii/S1568494616000132)"". Applied Soft Computing (2016).",SOP,PSO,Tabular Q-learning,-,### 2.1 🤖MetaBBO-RL,#### 2.1.2 Algorithm Configuration
ambbo-0120-aldes,metabbo,RL,AG,ALDes,"Zhao, Qi, et al. ""[**Automated Metaheuristic Algorithm Design with Autoregressive Learning**](https://arxiv.org/abs/2405.03419)."" arXiv preprint arXiv:2405.03419 (2024).",SOP,-,-,-,### 2.1 🤖MetaBBO-RL,#### 2.1.3 Algorithm Generation
ambbo-0121-symbol,metabbo,RL,AG,SYMBOL,"Chen, Jiacheng, et al. ""[**Symbol: Generating Flexible Black-Box Optimizers through Symbolic Equation Learning**](https://openreview.net/forum?id=vLJcd43U7a)."" The Twelfth International Conference on Learning Representations. (2024).",SOP,-,PPO,[SYMBOL](https://github.com/GMC-DRL/Symbol),### 2.1 🤖MetaBBO-RL,#### 2.1.3 Algorithm Generation
ambbo-0122-gsf,metabbo,RL,AG,GSF,"Yi, Wenjie, et al. ""[**Automated design of metaheuristics using reinforcement learning within a novel general search framework**](https://ieeexplore.ieee.org/abstract/document/9852781/)."" IEEE Transactions on Evolutionary Computation (2022)",CO,-,PPO\DQN,-,### 2.1 🤖MetaBBO-RL,#### 2.1.3 Algorithm Generation
ambbo-0123-melba,metabbo,RL,SM,MELBA,"Chaybouti, Sofian, et al. ""[**Meta-learning of Black-box Solvers Using Deep Reinforcement Learning**](https://hal.science/hal-03930140/)."" NeurIPS 2022, MetaLearn Workshop. (2022).",SOP,-,PPO,-,### 2.1 🤖MetaBBO-RL,#### 2.1.4 Solution Manipulation
ambbo-0124-transoptas,metabbo,SL,AS,TransOptAS,"Cenikj G, Petelin G, Eftimov T. ""[**TransOptAS: Transformer-Based Algorithm Selection for Single-Objective Optimization**](https://dl.acm.org/doi/abs/10.1145/3638530.3654191)"" Proceedings of the Genetic and Evolutionary Computation Conference Companion (2024).",SOP,"EAs,SI",-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0125-asf-allfv,metabbo,SL,AS,ASF-ALLFV,"Li Y, Liang J, Yu K, et al. ""[**Adaptive local landscape feature vector for problem classification and algorithm selection**](https://www.sciencedirect.com/science/article/pii/S1568494622008006)"". Applied Soft Computing, (2022).",SOP,"EAs,SI",-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0126-ar-bb,metabbo,SL,AS,AR-BB,"Tian Y, Peng S, Zhang X, et al. ""[**A recommender system for metaheuristic algorithms for continuous optimization based on deep recurrent neural networks**](https://ieeexplore.ieee.org/abstract/document/9187549)"". IEEE transactions on artificial intelligence (2020).",SOP,"EAs,SI",-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0127-meta-vrp,metabbo,SL,AS,Meta-VRP,"Gutierrez-Rodríguez A E, Conant-Pablos S E, Ortiz-Bayliss J C, et al. ""[**Selecting meta-heuristics for solving vehicle routing problems with time windows via meta-learning**](https://www.sciencedirect.com/science/article/pii/S0957417418306857)"". Expert Systems with Applications (2019).",CO,MOEA,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0128-meta-mop,metabbo,SL,AS,Meta-MOP,"Tian Y, Peng S, Rodemann T, et al. ""[**Automated selection of evolutionary multi-objective optimization algorithms**](https://ieeexplore.ieee.org/abstract/document/9003018)"" 2019 IEEE Symposium Series on Computational Intelligence. (2019).",MOOP,MOEA,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0129-meta-tsp,metabbo,SL,AS,Meta-TSP,"Kanda J Y, de Carvalho A C, Hruschka E R, et al. ""[**Using meta-learning to recommend meta-heuristics for the traveling salesman problem**](https://ieeexplore.ieee.org/abstract/document/6146996)"" 2011 10th international conference on machine learning and applications and workshops. (2011).",CO,GA,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0130-meta-qap,metabbo,SL,AS,Meta-QAP,"Smith-Miles K A. ""[**Towards insightful algorithm selection for optimisation using meta-learning concepts**](https://ieeexplore.ieee.org/abstract/document/4634391)"" 2008 IEEE international joint conference on neural networks. (2008).",CO,MMAS,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.1 Algorithm Selection
ambbo-0131-evograd,metabbo,SL,AC,EvoGrad,"Citterio, Beatrice FR, and Andrea Tangherloni. ""[**EvoGrad: Metaheuristics in a Differentiable Wonderland**](https://arxiv.org/pdf/2506.06320)."" arXiv preprint arXiv:2506.06320 (2025).",SOP,-,-,EAs,### 2.2 💻MetaBBO-SL,#### 2.2.2 Algorithm Configuration
ambbo-0132-neural-optimized-metaheu,metabbo,SL,AC,Neural optimized metaheuristic algorithm,"Oyelade, Olaide N., et al. ""[**Deep learning at the service of metaheuristics for solving numerical optimization problems**](https://link.springer.com/article/10.1007/s00521-024-10610-7)."" Neural Computing and Applications (2025).",SOP,-,-,-,### 2.2 💻MetaBBO-SL,#### 2.2.2 Algorithm Configuration
